study_hours,attendance,previous_score,assignment_score,sleep_hours,extracurricular,final_score
2,65,55,60,5,0,57
3,70,60,65,6,1,63
4,75,65,70,7,1,69
5,80,70,75,7,1,75
6,85,75,80,8,1,82
7,90,82,85,8,1,89
1,55,45,50,5,0,48
2,60,50,55,6,0,53
3,68,58,62,6,1,60
4,72,64,68,7,0,67
5,78,70,72,7,1,73
6,84,76,78,8,1,80
7,92,85,90,8,1,92
8,95,90,94,9,1,96
2,62,52,58,5,0,54
3,67,57,64,6,1,61
4,74,63,69,7,1,68
5,81,72,77,7,0,76
6,87,78,82,8,1,84
7,91,84,88,8,1,90
1,50,40,48,5,0,44
2,58,48,52,6,0,50
3,65,55,60,6,1,58
4,76,67,72,7,1,70
5,83,73,79,8,1,78
6,89,80,84,8,1,86
7,94,87,91,9,1,94
8,97,92,96,9,1,98
2,64,54,59,5,0,55
3,71,61,66,6,1,64
4,77,68,73,7,0,71
5,82,74,78,7,1,77
6,88,79,83,8,1,85
7,93,86,89,8,1,91
3,69,59,63,6,0,62
4,73,65,70,7,1,68
5,79,71,76,7,1,74
6,86,77,81,8,1,82
7,90,83,87,8,1,89
8,96,91,95,9,1,97
1,52,43,47,5,0,46
2,61,51,56,6,0,52
3,66,56,61,6,1,59
4,75,66,71,7,1,69
5,80,72,77,7,1,76
6,85,77,81,8,0,82
7,92,85,89,8,1,91
8,98,94,97,9,1,99
