Feature,Importance
failures,0.7107881245411614
absences,0.4585200576919376
goout,0.16794147829579434
sex,0.11253292351726216
age,0.09249151614974838
schoolsup,0.0836879530834563
guardian,0.08289803005147207
Medu,0.08213833973109548
Mjob,0.055571978910337674
studytime,0.051672884117316145
reason,0.03855340266250011
Fjob,0.035984064248300654
famrel,0.02737606070349612
activities,0.027193933488908684
famsup,0.01890501934454112
romantic,0.016056895686398277
Walc,0.013225515084241524
traveltime,0.011062166235339533
higher,0.007376400181293441
school,0.007026788941405559
nursery,0.006018350991615273
freetime,0.004505231326580939
address,0.00391218408884253
famsize,-0.0009133339105344973
Fedu,-0.0010859437144294937
Pstatus,-0.001269834711645279
internet,-0.0016775629202490539
paid,-0.009533731042027371
Dalc,-0.02584438994107252
health,-0.026383225903478812
